Ecosys;Types;Metric;μ;∑;x;σX;%;T1;T2;T3;T4
allWilcox;T3;Chur.;9.491;108890;3;32.3;0;✓ (< 0.05);✓ (< 0.05);n.a;✓ (< 0.05)
allWilcox;T4;Dup.;0.088;2175;0;0.6;72.3;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05);n.a
allWilcox;T4;Tim.;106.056;2628905;9;297.9;67.6;✓ (< 0.05);✕ (0.15);✓ (< 0.05);n.a
allWilcox;T4;Com.;6.733;166903;4;8;69.6;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05);n.a
allWilcox;T4;Reo.;0.089;2209;0;0.4;71.7;✓ (< 0.05);✕ (0.47);✓ (< 0.05);n.a
allWilcox;T4;Fil.;7.577;187824;3;22.4;88.3;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05);n.a
allWilcox;T4;Sev.;3.938;97625;3;1.3;61.8;✓ (< 0.05);✕ (0.1);✓ (< 0.05);n.a
allWilcox;T4;Cha.;5.162;127949;2;29;85.9;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05);n.a
allWilcox;T4;Hun.;718.58;17812171;16;31804.5;95.8;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05);n.a
allWilcox;T4;Chur.;8202.463;203322646;28;175548.3;91.9;✓ (< 0.05);✓ (< 0.05);✓ (< 0.05);n.a
